"Week 5 Bye"
"ECR","Quarterbacks","ECR","Running Backs","ECR","Wide Receivers","ECR","Tight Ends"
"","","  Travis Homer","170","  Kaden Wetjen","177","",""
"","","  Julius Chestnut","184","  Ben Skowronek","181","",""
"","","","","  Mason Kinsey","217","",""
""
"Week 10 Bye"
"ECR","Quarterbacks","ECR","Running Backs","ECR","Wide Receivers","ECR","Tight Ends"
"  Jalen Hurts","6","  Saquon Barkley","7","  DeVonta Smith","16","  Colston Loveland","3"
"  Caleb Williams","7","  D'Andre Swift","19","  Emeka Egbuka","18","  Dallas Goedert","12"
"  Bo Nix","12","  Bucky Irving","22","  Jaylen Waddle","20","  Cade Otton","28"
"  Baker Mayfield","19","  J.K. Dobbins","32","  Luther Burden III","26","  Evan Engram","29"
"  Tyson Bagent","53","  Kyle Monangai","37","  Rome Odunze","27","  Eli Stowers","35"
"  Jarrett Stidham","56","  RJ Harvey","38","  Courtland Sutton","35","  Cole Kmet","43"
"  Jake Browning","57","  Kenny Gainwell","40","  Chris Godwin Jr.","38","  Justin Joly","52"
"  Andy Dalton","68","  Tank Bigsby","46","  Makai Lemon","43","  Adam Trautman","69"
"  Tanner McKee","76","  Jonah Coleman","48","  Jalen McMillan","62","  Sam Roush","82"
"  Sam Ehlinger","86","  Sean Tucker","64","  Dontayvion Wicks","66","  Bauer Sharp","85"
"  Jalon Daniels","97","  Jaleel McLaughlin","97","  Pat Bryant","71","  Nate Adkins","91"
"  Case Keenum","99","  Will Shipley","98","  Troy Franklin","83","  Payne Durham","92"
"  Cole Payton","102","  Roschon Johnson","109","  Ted Hurst III","89","  Grant Calcaterra","102"
"","","  Dameon Pierce","111","  Marvin Mims Jr.","100","  Devin Culp","108"
"","","  Adam Prentice","132","  Hollywood Brown","103","  Stone Smartt","109"
"","","  Josh Williams","140","  Tez Johnson","118","  Johnny Mundt","128"
"","","  Tyler Badie","144","  Kalif Raymond","130","  Lucas Krull","143"
"","","  Salvon Ahmed","182","  Zavion Thomas","134","  Ko Kieft","146"
"","","  Carson Steele","186","  Jahdae Walker","150","  Cameron Latu","148"
"","","  Cody Schrader","187","  Elijah Moore","155","  E.J. Jenkins","149"
"","","","","  Lil'Jordan Humphrey","158","  Kenny Fletcher Jr.","159"
"","","","","  Scotty Miller","183","  Dallen Bentley","175"
"","","","","  Kameron Johnson","188","",""
"","","","","  Michael Woods II","193","",""
"","","","","  Michael Bandy","198","",""
"","","","","  Darius Cooper","199","",""
"","","","","  David Sills V","203","",""
"","","","","  Maurice Alexander","207","",""
"","","","","  Britain Covey","218","",""
"","","","","  Tahj Washington","219","",""
"","","","","  Ray-Ray McCloud III","230","",""
""
"Week 11 Bye"
"ECR","Quarterbacks","ECR","Running Backs","ECR","Wide Receivers","ECR","Tight Ends"
"  Drake Maye","3","  Bijan Robinson","2","  Puka Nacua","2","  Tucker Kraft","5"
"  Matthew Stafford","15","  Kyren Williams","13","  Jaxon Smith-Njigba","3","  Harold Fannin Jr.","8"
"  Jordan Love","18","  Josh Jacobs","15","  A.J. Brown","7","  Kyle Pitts Sr.","9"
"  Sam Darnold","22","  Quinshon Judkins","20","  Drake London","9","  Hunter Henry","17"
"  Tua Tagovailoa","31","  Jadarian Price","25","  Davante Adams","21","  Terrance Ferguson","20"
"  Michael Penix Jr.","32","  TreVeyon Henderson","26","  Christian Watson","25","  AJ Barner","22"
"  Shedeur Sanders","34","  Rhamondre Stevenson","27","  Jayden Reed","41","  Colby Parkinson","31"
"  Deshaun Watson","35","  Blake Corum","33","  Romeo Doubs","48","  Elijah Arroyo","42"
"  Ty Simpson","40","  Zach Charbonnet","45","  KC Concepcion","49","  Tyler Higbee","45"
"  Tyrod Taylor","48","  MarShawn Lloyd","49","  Matthew Golden","50","  Eli Raridon","46"
"  Jalen Milroe","59","  Brian Robinson Jr.","53","  Rashid Shaheed","54","  Max Klare","48"
"  Taylen Green","60","  Dylan Sampson","56","  Denzel Boston","58","  Luke Musgrave","54"
"  Tommy DeVito","64","  Emanuel Wilson","66","  Jerry Jeudy","63","  Austin Hooper","60"
"  Drew Lock","67","  George Holani","67","  Cooper Kupp","79","  Jonnu Smith","76"
"  Dillon Gabriel","69","  Chris Brooks","77","  Zachariah Branch","81","  Josh Whyle","83"
"  Jimmy Garoppolo","72","  Raheim Sanders","105","  Tory Horton","95","  Joe Royer","86"
"  Cooper Rush","78","  Jam Miller","108","  Kyle Williams","102","  Davis Allen","87"
"  Jack Strand","79","  Damien Martinez","115","  Isaiah Bond","105","  Blake Whiteheart","93"
"  Behren Morton","83","  Tyler Goodson","118","  Mack Hollins","107","  Eric Saubert","98"
"  Stetson Bennett IV","88","  Ronnie Rivers","127","  DeMario Douglas","111","  Julian Hill","100"
"  Kyle McCord","91","  Lan Larison","130","  Jahan Dotson","112","  Charlie Woerner","107"
"","","  Cash Jones","139","  Konata Mumpfield","119","  Drake Dabney","114"
"","","  Reggie Gilliam","142","  Olamide Zaccheaus","121","  Joshua Simon","122"
"","","  Michael Burton","143","  Savion Williams","127","  Carsen Ryan","131"
