RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
44,Ashton Jeanty   LV,RB,17,10.0,4.4,6.3,31.5,10.9,14.6,3.4,BYE,14.9,12.3,3.4,16.8,6.1,3.8,4.2,30.8,7.3,9.4,11.2,190.1
45,Trey McBride   ARI,TE,17,6.1,7.8,10.3,5.2,4.1,13.2,19.4,BYE,11.5,18.7,17.5,7.9,14.2,5.8,25.4,2.7,13.6,6.5,11.2,189.9
46,Ja'Marr Chase   CIN,WR,16,2.6,22.5,3.9,2.3,23.0,15.1,22.1,9.1,11.1,BYE,3.0,,11.0,5.2,13.2,10.9,18.0,15.6,11.8,188.6
47,Brandon Aubrey   DAL,K,17,11.0,22.0,8.0,8.0,7.0,9.0,17.0,6.0,5.0,BYE,9.0,7.0,12.0,23.0,16.6,5.0,17.0,5.0,11.0,187.6
48,Brock Purdy   SF,QB,9,18.8,,,19.7,,,,,,,19.3,10.3,17.1,BYE,26.2,31.9,37.9,6.2,20.8,187.4
49,Seattle Seahawks   SEA,DST,17,8.0,14.0,16.0,11.0,-3.0,11.0,9.0,BYE,9.0,21.0,2.0,4.0,30.0,19.0,4.0,2.0,10.0,12.0,10.5,179.0
50,Rico Dowdle   CAR,RB,17,1.6,1.9,9.8,3.0,29.4,29.9,9.6,5.4,26.1,12.3,10.0,7.4,7.9,BYE,11.4,4.3,6.3,1.0,10.4,177.3
51,Jaylen Warren   PIT,RB,16,11.9,13.4,8.1,,BYE,6.3,15.8,7.3,14.9,9.1,6.7,12.8,10.4,12.2,4.8,27.1,6.4,9.9,11.1,177.1
52,Tua Tagovailoa   MIA,QB,14,7.3,19.6,13.8,15.7,22.7,9.6,1.6,24.2,9.5,12.8,6.8,BYE,5.7,9.1,17.2,,,,12.6,175.7
53,Breece Hall   NYJ,RB,16,14.5,3.8,5.2,11.1,13.5,5.9,5.2,30.9,BYE,18.5,6.4,9.9,13.6,4.3,3.7,6.3,18.9,,10.7,171.7
